# 1. 笑脸与情感 (Smileys & Emotion)
😀 | 咧嘴笑 | Grinning Face
👊 | 拳头 | Oncoming Fist
🤛 | 左拳 | Left-Facing Fist
🤜 | 右拳 | Right-Facing Fist
👏 | 鼓掌 | Clapping Hands
🙌 | 举双手 | Raising Hands
🫲 | 左手 | Left Hand
🫱 | 右手 | Right Hand
🫷 | 左推 | Left-Pushing Hand
🫸 | 右推 | Right-Pushing Hand
🤝 | 握手 | Handshake
💪 | 肌肉 | Flexed Biceps
🦵 | 腿 | Leg
🦶 | 脚 | Foot
👂 | 耳朵 | Ear
🦻 | 助听器耳 | Ear with Hearing Aid
👃 | 鼻子 | Nose
👀 | 双眼 | Eyes
👁️ | 单眼 | Eye
👅 | 舌头 | Tongue
👄 | 嘴巴 | Mouth
🫦 | 嘴唇 | Lipstick
🦷 | 牙齿 | Tooth
🦴 | 骨头 | Bone
👶 | 婴儿 | Baby
🧒 | 儿童 | Child
👦 | 男孩 | Boy
👧 | 女孩 | Girl
🧑 | 人 | Person
👱 | 金发人 | Person: Blond Hair
👨 | 男人 | Man
🧔 | 胡子男 | Person: Beard
👨‍🦰 | 男人红发 | Man: Red Hair
👨‍🦱 | 男人卷发 | Man: Curly Hair
👨‍🦳 | 男人白发 | Man: White Hair
👨‍🦲 | 男人光头 | Man: Bald
👩 | 女人 | Woman
👩‍🦰 | 女人红发 | Woman: Red Hair
👩‍🦱 | 女人卷发 | Woman: Curly Hair
👩‍🦳 | 女人白发 | Woman: White Hair
👩‍🦲 | 女人光头 | Woman: Bald
🧓 | 老人 | Older Person
👴 | 老爷爷 | Old Man
👵 | 老奶奶 | Old Woman
🙍 | 皱眉 | Person Frowning
🙎 | 生气不说话 | Person Pouting
🙅 | 不行 | Person Gesturing NO
🙆 | 可以 | Person Gesturing OK
💁 | 举手 | Person Tipping Hand
🙋 | 举手提问 | Person Raising Hand
🧏 | 失聪听手 | Deaf Person
🙇 | 鞠躬 | Person Bowing
🤦 | 捂脸 | Facepalming
🤷 | 摊手 | Shrugging
👨‍⚕️ | 男医生 | Man Health Worker
👩‍⚕️ | 女医生 | Woman Health Worker
👨‍🎓 | 男学生 | Man Student
👩‍🎓 | 女学生 | Woman Student
👨‍🏫 | 男老师 | Man Teacher
👩‍🏫 | 女老师 | Woman Teacher
👨‍⚖️ | 男法官 | Man Judge
👩‍⚖️ | 女法官 | Woman Judge
👨‍🌾 | 男农夫 | Man Farmer
👩‍🌾 | 女农夫 | Woman Farmer
👨‍🍳 | 男厨师 | Man Cook
👩‍🍳 | 女厨师 | Woman Cook
👨‍🔧 | 男技工 | Man Mechanic
👩‍🔧 | 女技工 | Woman Mechanic
👨‍🏭 | 男工人 | Man Factory Worker
👩‍🏭 | 女工人 | Woman Factory Worker
👨‍💼 | 男白领 | Man Office Worker
👩‍💼 | 女白领 | Woman Office Worker
👨‍🔬 | 男科学家 | Man Scientist
👩‍🔬 | 女科学家 | Woman Scientist
👨‍🚀 | 男宇航员 | Man Astronaut
👩‍🚀 | 女宇航员 | Woman Astronaut
👨‍🚒 | 男消防员 | Man Firefighter
👩‍🚒 | 女消防员 | Woman Firefighter
👮 | 警察 | Police Officer
🕵️ | 侦探 | Detective
💂 | 卫兵 | Guardsman
👷 | 工人 | Construction Worker
🫅 | 皇冠人 | Person with Crown
🤴 | 王子 | Prince
👸 | 公主 | Princess
👳 | 头巾 | Person Wearing Turban
👲 | 唐装 | Person with Skullcap
🧕 | 头巾女 | Woman with Headscarf
🤵 | 西装男 | Man in Tuxedo
👰 | 头纱女 | Woman with Veil
🤰 | 孕妇 | Pregnant Woman
🫃 | 孕肚男 | Pregnant Man
🫄 | 孕肚人 | Pregnant Person
🤱 | 哺乳 | Breast-Feeding
👼 | 天使 | Baby Angel
🎅 | 圣诞老人 | Santa Claus
🤶 | 圣诞奶奶 | Mrs. Claus
🧑‍🎄 | 圣诞人 | MX Claus
🦸 | 超人 | Superhero
🦹 | 反派 | Supervillain
🧙 | 巫师 | Mage
🧚 | 精灵 | Fairy
🧛 | 吸血鬼 | Vampire
🧜 | 人鱼 | Merperson
🧝 | 精灵 | Elf
🧞 | 精灵 | Genie
🧟 | 僵尸 | Zombie
🧌 | 巨魔 | Troll
👯 | 双人舞 | People with Bunny Ears
🧖 | 蒸桑拿 | Person in Steamy Room
🧗 | 攀岩 | Person Climbing
🧘 | 瑜伽 | Person in Lotus Position

---

# 3. 动物与自然 (Animals & Nature)
🐵 | 猴子脸 | Monkey Face
🐒 | 猴子 | Monkey
🦍 | 大猩猩 | Gorilla
🦧 | 红毛猩猩 | Orangutan
🐶 | 狗脸 | Dog Face
🐕 | 狗 | Dog
🦮 | 导盲犬 | Guide Dog
🐩 | 贵宾犬 | Poodle
🐺 | 狼 | Wolf
🦊 | 狐狸 | Fox
🦝 | 浣熊 | Raccoon
🐱 | 猫脸 | Cat Face
🐈 | 猫 | Cat
🐯 | 老虎脸 | Tiger Face
🐅 | 老虎 | Tiger
🐆 | 豹子 | Leopard
🦁 | 狮子 | Lion
🐮 | 牛脸 | Cow Face
🐂 | 公牛 | Ox
🐃 | 水牛 | Water Buffalo
🐄 | 奶牛 | Cow
🐷 | 猪脸 | Pig Face
🐖 | 猪 | Pig
🐗 | 野猪 | Boar
🐽 | 猪鼻子 | Pig Nose
🐏 | 公羊 | Ram
🐑 | 绵羊 | Sheep
🐐 | 山羊 | Goat
🐪 | 单峰驼 | Dromedary Camel
🐫 | 双峰驼 | Bactrian Camel
🦙 | 羊驼 | Llama
🦒 | 长颈鹿 | Giraffe
🐘 | 大象 | Elephant
🦣 | 猛犸象 | Mammoth
🦏 | 犀牛 | Rhinoceros
🦛 | 河马 | Hippopotamus
🐭 | 老鼠脸 | Mouse Face
🐁 | 老鼠 | Mouse
🐹 | 仓鼠 | Hamster
🐰 | 兔子脸 | Rabbit Face
🐇 | 兔子 | Rabbit
🐿️ | 松鼠 | Chipmunk
🦫 | 海狸 | Beaver
🦔 | 刺猬 | Hedgehog
🦇 | 蝙蝠 | Bat
🐻 | 熊 | Bear
🐨 | 考拉 | Koala
🐼 | 熊猫 | Panda
🦥 | 树懒 | Sloth
🦦 | 水獭 | Otter
🦨 | 臭鼬 | Skunk
🦘 | 袋鼠 | Kangaroo
🦡 | 獾 | Badger
🐾 | 爪印 | Paw Prints
🐔 | 鸡 | Chicken
🐤 | 小鸡 | Baby Chick
🐥 | 小鸡站立 | Front-Facing Baby Chick
🐦 | 鸟 | Bird
🐧 | 企鹅 | Penguin
🕊️ | 鸽子 | Dove
🦅 | 鹰 | Eagle
🦆 | 鸭子 | Duck
🦢 | 天鹅 | Swan
🦉 | 猫头鹰 | Owl
🦤 | 渡渡鸟 | Dodo
🪶 | 羽毛 | Feather
🦩 | 火烈鸟 | Flamingo
🦚 | 孔雀 | Peacock
🦜 | 鹦鹉 | Parrot
🐸 | 青蛙 | Frog
🐊 | 鳄鱼 | Crocodile
🐢 | 乌龟 | Turtle
🦎 | 蜥蜴 | Lizard
🐍 | 蛇 | Snake
🐲 | 龙脸 | Dragon Face
🐉 | 龙 | Dragon
🦕 | 恐龙 | T-Rex
🦖 | 霸王龙 | T-Rex
🐠 | 热带鱼 | Tropical Fish
🐟 | 鱼 | Fish
🐡 | 河豚 | Blowfish
🦈 | 鲨鱼 | Shark
🐙 | 章鱼 | Octopus
🐳 | 鲸鱼 | Spouting Whale
🐋 | 鲸鱼 | Whale
🦭 | 海狮 | Seal
🐬 | 海豚 | Dolphin
🦀 | 螃蟹 | Crab
🦞 | 龙虾 | Lobster
🦐 | 虾 | Shrimp
🦑 | 鱿鱼 | Squid
🦪 | 牡蛎 | Oyster
🐌 | 蜗牛 | Snail
🐚 | 海螺 | Spiral Shell
🪸 | 珊瑚 | Coral
🪼 | 水母 | Jellyfish
🌵 | 仙人掌 | Cactus
🎄 | 圣诞树 | Christmas Tree
🌲 | 常青树 | Evergreen Tree
🌳 | 落叶树 | Deciduous Tree
🌴 | 棕榈树 | Palm Tree
🌱 | 幼苗 | Seedling
🌿 | 药草 | Herb
🍀 | 四叶草 | Four Leaf Clover
🍃 | 风吹叶 | Leaf Fluttering in Wind
🍂 | 秋叶 | Fallen Leaf
🍁 | 枫叶 | Maple Leaf
🍄 | 蘑菇 | Mushroom
🍇 | 葡萄 | Grapes
🍉 | 西瓜 | Watermelon
🍊 | 橘子 | Tangerine
🍋 | 柠檬 | Lemon
🍌 | 香蕉 | Banana
🍍 | 菠萝 | Pineapple
🍎 | 红苹果 | Red Apple
🍏 | 青苹果 | Green Apple
🍐 | 梨 | Pear
🍑 | 桃子 | Peach
🍒 | 樱桃 | Cherries
🍓 | 草莓 | Strawberry
🫐 | 蓝莓 | Blueberries
🥝 | 猕猴桃 | Kiwi Fruit
🍅 | 番茄 | Tomato
🥥 | 椰子 | Coconut
🥑 | 牛油果 | Avocado
🍆 | 茄子 | Eggplant
🥔 | 土豆 | Potato
🥕 | 胡萝卜 | Carrot
🌽 | 玉米 | Ear of Corn
🌶️ | 辣椒 | Hot Pepper
🫑 | 甜椒 | Bell Pepper
🥒 | 黄瓜 | Cucumber
🥬 | 绿叶菜 | Leafy Green
🥦 | 西兰花 | Broccoli
🧄 | 大蒜 | Garlic
🧅 | 洋葱 | Onion
🥜 | 花生 | Peanuts
🫘 | 豆子 | Beans
🌰 | 栗子 | Chestnut
🍞 | 面包 | Bread
🥐 | 牛角包 | Croissant
🥨 | 碱水结 | Pretzel
🥯 | 贝果 | Bagel
🥞 | 松饼 | Pancakes
🧇 | 华夫饼 | Waffle
🧀 | 奶酪 | Cheese Wedge
🍖 | 烤肉 | Meat on Bone
🍗 | 鸡腿 | Poultry Leg
🥩 | 牛排 | Cut of Meat
🥓 | 培根 | Bacon
🥚 | 鸡蛋 | Egg
🍳 | 煎蛋 | Cooking
🥘 | 炖锅 | Shallow Pan of Food
🍲 | 汤碗 | Pot of Food
🥣 | 碗勺 | Bowl with Spoon
🥗 | 沙拉 | Green Salad
🍿 | 爆米花 | Popcorn
🧈 | 黄油 | Butter
🧂 | 盐 | Salt
🥫 | 罐头 | Canned Food
🍱 | 便当 | Bento Box
🍘 | 米饼 | Rice Cracker
🍙 | 饭团 | Rice Ball
🍚 | 米饭 | Cooked Rice
🍛 | 咖喱饭 | Curry Rice
🥟 | 饺子 | Dumpling
🥠 | fortune 饼干 | Fortune Cookie
🥡 | 外卖盒 | Takeout Box
🍝 | 意面 | Spaghetti
🍠 | 烤红薯 | Roasted Sweet Potato
🥘 | 锅料理 | Paella
🍢 | 关东煮 | Oden
🍣 | 寿司 | Sushi
🍤 | 炸虾 | Fried Shrimp
🍥 | 鱼饼 | Fish Cake with Swirl
🥮 | 月饼 | Moon Cake
🍡 | 团子 | Dango
🍦 | 甜筒 | Soft Ice Cream
🍧 | 刨冰 | Shaved Ice
🍨 | 冰淇淋 | Ice Cream
🍩 | 甜甜圈 | Doughnut
🍪 | 曲奇 | Cookie
🎂 | 生日蛋糕 | Birthday Cake
🍰 | 蛋糕 | Shortcake
🧁 | 纸杯蛋糕 | Cupcake
🥧 | 派 | Pie
🍫 | 巧克力 | Chocolate Bar
🍬 | 糖果 | Candy
🍭 | 棒棒糖 | Lollipop
🍮 | 焦糖布丁 | Custard
🍯 | 蜂蜜 | Honey Pot
🍼 | 奶瓶 | Baby Bottle
🥛 | 牛奶 | Glass of Milk
🫖 | 茶壶 | Teapot
🍵 | 茶杯 | Teacup Without Handle
☕ | 咖啡 | Hot Beverage
🍶 | 清酒 | Sake
🍾 | 香槟 | Bottle with Popping Cork
🍷 | 红酒 | Wine Glass
🍸 | 鸡尾酒 | Cocktail Glass
🍹 | 果汁 | Tropical Drink
🍺 | 啤酒 | Beer Mug
🍻 | 碰杯 | Clinking Beer Mugs
🥂 | 碰杯香槟 | Clinking Glasses
🥃 | 威士忌 | Tumbler Glass
🫗 | 倾倒液体 | Pouring Liquid
🥤 | 带吸管杯 | Cup with Straw
🧋 | 奶茶 | Bubble Tea
🧃 | 果汁盒 | Beverage Box
🧉 | 玛黛茶 | Mate
🧊 | 冰块 | Ice Cube

---

# 4. 旅行与地点 (Travel & Places)
🚗 | 汽车 | Automobile
🚕 | 出租车 | Taxi
🚙 | 运动车 | Minibus
🚌 | 公交车 | Bus
🚎 | 电车 | Trolleybus
🏎️ | 赛车 | Racing Car
🚓 | 警车 | Police Car
🚑 | 救护车 | Ambulance
🚒 | 消防车 | Fire Engine
🚐 | 面包车 | Minibus
🚚 | 卡车 | Truck
🚛 | 大卡车 | Articulated Lorry
🚜 | 拖拉机 | Tractor
🚲 | 自行车 | Bicycle
🛵 | 小摩托 | Motor Scooter
🏍️ | 摩托车 | Motorcycle
🛺 | 三轮车 | Auto Rickshaw
🚨 | 警灯 | Police Car Light
🚔 | 警车飞驰 | Oncoming Police Car
🚍 | 公交飞驰 | Oncoming Bus
🚘 | 汽车飞驰 | Oncoming Automobile
🚖 | 出租飞驰 | Oncoming Taxi
🚡 | 缆车 | Aerial Tramway
🚠 | 索道 | Mountain Cableway
🚟 | 悬空缆车 | Suspension Railway
🚃 | 电车 | Railway Car
🚋 | 有轨电车 | Tram Car
🚝 | 单轨 | Monorail
🚞 | 山地火车 | Mountain Railway
🚂 | 火车头 | Locomotive
🚆 | 火车 | Train
🚇 | 地铁 | Metro
🚈 | 轻轨 | Light Rail
🚉 | 车站 | Station
🚊 | 有轨电车 | Tram
🚝 | 单轨列车 | Monorail
✈️ | 飞机 | Airplane
🛫 | 起飞 | Airplane Departure
🛬 | 降落 | Airplane Arrival
🪂 | 跳伞 | Parachute
💺 | 座位 | Seat
🚁 | 直升机 | Helicopter
🚟 | 吊索车 | Suspension Railway
🚤 | 快艇 | Speedboat
🛳️ | 轮船 | Passenger Ship
⛴️ | 渡轮 | Ferry
🛥️ | 摩托艇 | Motor Boat
🚢 | 巨轮 | Ship
🛶 | 独木舟 | Canoe
🚀 | 火箭 | Rocket
🛸 | UFO | Flying Saucer
🛰️ | 卫星 | Satellite
🚧 | 施工 | Construction
🛟 | 救生圈 | Ring Buoy
🛞 | 轮子 | Wheel
🚦 | 红绿灯 | Vertical Traffic Light
🚥 | 横向红绿灯 | Horizontal Traffic Light
🛑 | 停车牌 | Stop Sign
🚏 | 站牌 | Bus Stop
🛣️ | 公路 | Motorway
🛤️ | 铁轨 | Railway Track
🛢️ | 油桶 | Oil Drum
🛝 | 滑梯 | Playground Slide
🛞 | 车轮 | Wheel
🏠 | 房子 | House
🏡 | 别墅 | House with Garden
🏢 | 办公楼 | Office Building
🏬 | 百货 | Department Store
🏭 | 工厂 | Factory
🏣 | 邮局 | Post Office
🏤 | 银行 | Bank
🏥 | 医院 | Hospital
🏦 | 银行 | Bank
🏨 | 酒店 | Hotel
🏩 | 情侣酒店 | Love Hotel
🏪 | 便利店 | Convenience Store
🏫 | 学校 | School
🏯 | 城堡 | Japanese Castle
🏰 | 欧式城堡 | Castle
💒 | 婚礼教堂 | Wedding
🗼 | 东京塔 | Tokyo Tower
🗽 | 自由女神 | Statue of Liberty
🌁 | 雾桥 | Foggy
🌉 | 桥 | Bridge
🏁 | 终点旗 | Checkered Flag
🎌 | 交叉旗 | Crossed Flags
🏴 | 黑旗 | Black Flag
🏳️ | 白旗 | White Flag
🏴‍☠️ | 海盗旗 | Pirate Flag
🗾 | 日本地图 | Map of Japan
🧭 | 指南针 | Compass
🏔️ | 雪山 | Snow-Capped Mountain
🌋 | 火山 | Volcano
🗻 | 富士山 | Mount Fuji
🏕️ | 露营 | Camping
🏖️ | 沙滩 | Beach
🏜️ | 沙漠 | Desert
🏝️ | 海岛 | Desert Island
🏞️ | 国家公园 | National Park
🏟️ | 体育场 | Stadium
🏛️ | 古典建筑 | Classical Building
🏗️ | 施工建筑 | Building Construction
🧱 | 砖块 | Brick
🪨 | 石头 | Rock
🛕 | 寺庙 | Hindu Temple
🕍 | 犹太教堂 | Synagogue
🕋 | 清真寺 | Mosque
🌅 | 日出 | Sunrise
🌄 | 山日出 | Sunrise Over Mountains
🌠 | 流星 | Shooting Star
🌌 | 银河 | Milky Way
🌇 | 夕阳 | Sunset
🌆 | 城市黄昏 | Cityscape at Dusk
🌉 | 夜景桥 | Bridge at Night
🌃 | 星空夜景 | Night with Stars
🌁 | 雾景 | Foggy
🌊 | 海浪 | Wave
🌫️ | 雾 | Fog
🌬️ | 风 | Wind Face
🌀 | 旋风 | Cyclone
🌈 | 彩虹 | Rainbow
🌂 | 伞 | Closed Umbrella
☀️ | 太阳 | Sun
🌙 | 弯月 | Crescent Moon
🌚 | 黑脸满月 | New Moon Face
🌛 | 上弦月 | First Quarter Moon Face
🌜 | 下弦月 | Last Quarter Moon Face
🌡️ | 温度计 | Thermometer
🌧️ | 雨 | Cloud with Rain
🌨️ | 雪 | Cloud with Snow
🌩️ | 雷 | Cloud with Lightning
🌊 | 海浪 | Water Wave

---

# 5. 物品 (Objects)
⌚ | 手表 | Watch
📱 | 手机 | Mobile Phone
📲 | 来电手机 | Mobile Phone with Arrow
💻 | 笔记本电脑 | Laptop Computer
🖥️ | 台式电脑 | Desktop Computer
🖨️ | 打印机 | Printer
🖱️ | 鼠标 | Computer Mouse
🖲️ | 轨迹球 | Trackball
💽 | 磁盘 | Computer Disk
💾 | 软盘 | Floppy Disk
📀 | 光盘 | DVD
🧮 | 计算器 | Abacus
🎥 | 摄像机 | Movie Camera
🎞️ | 胶卷 | Film Frames
📽️ | 放映机 | Film Projector
🎬 | 场记板 | Clapper Board
📷 | 相机 | Camera
📸 | 拍照相机 | Camera with Flash
📹 | 摄像机 | Video Camera
📼 | 录像带 | Videocassette
🔋 | 电池 | Battery
🔌 | 插头 | Electric Plug
💡 | 灯泡 | Light Bulb
🔦 | 手电筒 | Flashlight
🏮 | 御手玉 | Paper Lantern
🪔 | （印度）迪亚油灯 | Diya Lamp
📔 | 笔记本 | Notebook with Decorative Cover
📕 | 合本书 | Closed Book
📖 | 打开书 | Open Book
📗 | 绿皮书 | Green Book
📘 | 蓝皮书 | Blue Book
📙 | 橙皮书 | Orange Book
📚 | 书籍堆 | Books
📓 | 笔记本 | Notebook
📒 | 账本 | Ledger
📃 | 卷纸 | Page with Curl
📜 | 卷轴 | Scroll
📄 | 纸页 | Page Facing Up
📑 | 书签 | Bookmark Tabs
🔖 | 书签 | Bookmark
🏷️ | 标签 | Label
💰 | 钱袋 | Money Bag
🪙 | 硬币 | Coin
💴 | 日元 | Yen Banknote
💵 | 美元 | Dollar Banknote
💶 | 欧元 | Euro Banknote
💷 | 英镑 | Pound Banknote
💳 | 银行卡 | Credit Card
💸 | 飞钱 | Money with Wings
📧 | 邮件 | E-Mail
📨 | 来信 | Incoming Envelope
📩 | 拆信 | Envelope with Arrow
📤 | 发信 | Outbox Tray
📥 | 收信 | Inbox Tray
📦 | 包裹 | Package
📫 | 闭合邮箱 | Closed Mailbox with Raised Flag
📪 | lowered 邮箱 | Closed Mailbox with Lowered Flag
📬 | 打开邮箱 | Open Mailbox with Raised Flag
📭 | 打开无信邮箱 | Open Mailbox with Lowered Flag
📮 | 邮筒 | Postbox
🗳️ | 投票箱 | Ballot Box
🖋️ | 钢笔 | Fountain Pen
🖊️ | 圆珠笔 | Pen
📝 | 备忘录 | Memo
💼 | 公文包 | Briefcase
📁 | 文件夹 | Folder
📂 | 打开文件夹 | Open Folder
🗂️ | 卡片索引分隔板 | Card Index Dividers
📅 | 日历 | Calendar
📆 | 翻页日历 | Tear-Off Calendar
🗒️ | 便签 | Spiral Notepad
🗓️ | 线圈日历 | Spiral Calendar
📇 | 名片夹 | Card Index
🔗 | 链接 | Link
📎 | 回形针 | Paperclip
🖇️ | 双回形针 | Linked Paperclips
📌 | 图钉 | Pushpin
📍 | 定位针 | Round Pushpin
📏 | 直尺 | Straight Ruler
📐 | 三角尺 | Triangular Ruler
🗃️ | 文件盒 | Card File Box
🗄️ | 档案柜 | File Cabinet
🔒 | 锁 | Lock
🔓 | 开锁 | Unlock
🔏 | 钢笔锁 | Lock with Ink Pen
🔐 | 钥匙锁 | Lock with Key
🔑 | 钥匙 | Key
🗝️ | 复古钥匙 | Old Key
🔨 | 锤子 | Hammer
🪓 | 斧头 | Axe
🛠️ | 工具 | Hammer and Wrench
🗡️ | 剑 | Dagger
💣 | 炸弹 | Bomb
🪃 | 回旋镖 | Boomerang
🏹 | 弓箭 | Bow and Arrow
